,Address,ProposedUseDescription,DecisionDate,Decision,CommunityName,Latitude,Longitude,Permit_category_new,CTrain,Year
14380,2126 BROADVIEW RD NW,SINGLE DETACHED DWELLING,2017/01/31,Approval,WEST HILLHURST,51.05031079383154,-114.10950858474165,House,False,2017
14381,15 KINCORA GLEN PA NW,MULTI-RESIDENTIAL DEVELOPMENT,2016/12/09,Approval,KINCORA,51.16595525865668,-114.1438067162083,Multi_unit,False,2016
14383,218 SHERWOOD SQ NW,MULTI-RESIDENTIAL DEVELOPMENT,2016/12/22,Approval,SHERWOOD,51.16612543523762,-114.15142628421536,Multi_unit,False,2016
14384,18 ERIN RIDGE CO SE,SINGLE DETACHED DWELLING,2016/11/15,Approval,ERIN WOODS,51.016405128058004,-113.97351856196464,House,False,2016
14385,300 144 AV NE,MULTI-RESIDENTIAL DEVELOPMENT,2017/06/02,Approval,LIVINGSTON,51.18361118735402,-114.06922310634904,Multi_unit,False,2017
14386,1920 11 AV SW,MULTI-RESIDENTIAL DEVELOPMENT,2017/01/05,Approval,SUNALTA,51.04367860814664,-114.10537321580671,Multi_unit,True,2017
14387,317 MARQUIS LD SE,SINGLE DETACHED DWELLING,2016/11/03,Approval,MAHOGANY,50.89829343942938,-113.91508221864709,House,False,2016
14388,5008 21 ST SW,BACKYARD SUITE,2017/02/23,Approval,ALTADORE,51.0096526678166,-114.11207577540165,Secondary_suite,False,2017
14389,602 10 ST NE,BACKYARD SUITE,2017/03/17,Approval,BRIDGELAND/RIVERSIDE,51.05724063060838,-114.03752406921507,Secondary_suite,True,2017
14390,503 50 AV SW,MULTI-RESIDENTIAL DEVELOPMENT,2017/03/10,Approval,WINDSOR PARK,51.00859747991986,-114.07427835901824,Multi_unit,False,2017
14391,1411 9 ST NW,SINGLE DETACHED DWELLING,2016/12/09,Approval,ROSEDALE,51.06431582030897,-114.08291168638756,House,False,2016
14392,1124 PANAMOUNT BV NW,SINGLE DETACHED DWELLING,2016/11/15,Approval,PANORAMA HILLS,51.16276791739526,-114.09264685305337,House,False,2016
14393,602 10 ST NE,SINGLE DETACHED DWELLING,2017/02/10,Approval,BRIDGELAND/RIVERSIDE,51.05724063060838,-114.03752406921507,House,True,2017
14394,4803 BOWNESS RD NW,MULTI-RESIDENTIAL DEVELOPMENT,2017/03/30,Approval,MONTGOMERY,51.073913038421644,-114.16246599245865,Multi_unit,False,2017
14395,3220 1 ST SW,SINGLE DETACHED DWELLING,2016/12/22,Approval,ROXBORO,51.02557743727909,-114.06692259980828,House,False,2016
14396,371 VARSITY CL NW,CONTEXTUAL SINGLE DETACHED DWELLING,2016/11/23,Approval,VARSITY,51.09082478694885,-114.16947137585743,House,True,2016
14397,28 MARTHA'S MEADOW GA NE,SECONDARY SUITE,2016/11/30,Approval,MARTINDALE,51.124518547786494,-113.96031349785437,Secondary_suite,True,2016
14398,248 RANCHVIEW ME NW,SINGLE DETACHED DWELLING,2016/12/21,Approval,RANCHLANDS,51.11952345463282,-114.17530817956306,House,False,2016
14400,33 EVERGREEN MT SW,SINGLE DETACHED DWELLING,2016/11/09,Approval,EVERGREEN,50.92205464751622,-114.10651644237706,House,False,2016
14401,3705 FONDA WY SE,MULTI-RESIDENTIAL DEVELOPMENT,2017/03/10,Approval,FOREST HEIGHTS,51.05119763901443,-113.97842811252735,Multi_unit,False,2017
14402,257 SCOTIA PT NW,SINGLE DETACHED DWELLING,2016/11/09,Approval,SCENIC ACRES,51.12476130978282,-114.21455197789899,House,True,2016
14403,131 OAKLAND PL SW,SINGLE DETACHED DWELLING,2016/10/31,Approval,OAKRIDGE,50.97005471394926,-114.13754590757662,House,False,2016
14404,1922 29 AV SW,SECONDARY SUITE,2017/02/13,Refusal,SOUTH CALGARY,51.027781650340955,-114.10580667077616,Secondary_suite,False,2017
14405,2110 CENTRE ST NE,MULTI-RESIDENTIAL DEVELOPMENT,2016/11/30,Approval,TUXEDO PARK,51.07096181871611,-114.0623108275703,Multi_unit,False,2016
14406,37 MARTINVALLEY CR NE,SECONDARY SUITE,2016/12/02,Approval,MARTINDALE,51.12314956202042,-113.95548603679329,Secondary_suite,True,2016
14407,5127 BAINES RD NW,SINGLE DETACHED DWELLING,2016/12/02,Approval,BRENTWOOD,51.09959098785842,-114.13470496771505,House,True,2016
14408,4516 75 ST NW,MULTI-RESIDENTIAL DEVELOPMENT,2017/07/06,Refusal,BOWNESS,51.091529067012694,-114.19824791332891,Multi_unit,False,2017
14409,172 MACEWAN MEADOW WY NW,SINGLE DETACHED DWELLING,2016/11/02,Approval,MACEWAN,51.13804925109641,-114.11241268560025,House,False,2016
14411,84 CHAPARRAL CM SE,SINGLE DETACHED DWELLING,2016/11/02,Approval,CHAPARRAL,50.88962364161781,-114.0390690569812,House,False,2016
14412,#1000 181 SKYVIEW RANCH MR NE,MULTI-RESIDENTIAL DEVELOPMENT,2016/11/17,Approval,SKYVIEW RANCH,51.16417170037923,-113.94901792717259,Multi_unit,False,2016
14413,738 RIDEAU RD SW,SINGLE DETACHED DWELLING,2017/05/12,Approval,RIDEAU PARK,51.0268140341036,-114.07618548254308,House,False,2017
14414,740 RIDEAU RD SW,SINGLE DETACHED DWELLING,2017/05/12,Approval,RIDEAU PARK,51.02677801075115,-114.0762840546664,House,False,2017
14415,459 31 AV NW,SINGLE DETACHED DWELLING,2017/03/03,Approval,MOUNT PLEASANT,51.080411078615576,-114.07077167576595,House,False,2017
14416,239 CRANBROOK CI SE,SINGLE DETACHED DWELLING,2016/12/29,Refusal,CRANSTON,50.86663758301956,-113.98104364089045,House,False,2016
14417,7029 16 AV SE,MULTI-RESIDENTIAL DEVELOPMENT,2016/12/21,Approval,APPLEWOOD PARK,51.03864529868143,-113.93233598601076,Multi_unit,False,2016
14418,1149 10 ST SE,SECONDARY SUITE,2017/01/27,Approval,RAMSAY,51.03806266255648,-114.03824370658195,Secondary_suite,False,2017
14419,65 SKYVIEW RANCH AV NE,MULTI-RESIDENTIAL DEVELOPMENT,2016/12/09,Approval,SKYVIEW RANCH,51.16079577428649,-113.94822236614395,Multi_unit,False,2016
14420,400 AUBURN CREST WY SE,SECONDARY SUITE,2016/12/02,Approval,AUBURN BAY,50.88564814318799,-113.943223991401,Secondary_suite,False,2016
14421,12 MAHOGANY PH SE,MULTI-RESIDENTIAL DEVELOPMENT,2016/12/15,Approval,MAHOGANY,50.896130399155034,-113.93453935152449,Multi_unit,False,2016
14422,41 ROCKY RIDGE DR NW,SINGLE DETACHED DWELLING,2016/11/08,Approval,ROCKY RIDGE,51.143667166385754,-114.23743820735416,House,False,2016
14423,4523 STANLEY DR SW,SINGLE DETACHED DWELLING,2017/05/30,Approval,PARKHILL,51.013886482797524,-114.06866906892124,House,True,2017
14424,187 MAHOGANY PS SE,SECONDARY SUITE,2016/11/17,Approval,MAHOGANY,50.88852386528682,-113.94106325048422,Secondary_suite,False,2016
14426,136 WHITEFIELD DR NE,SECONDARY SUITE,2017/02/13,Approval,WHITEHORN,51.088475307902186,-113.98044690191648,Secondary_suite,True,2017
14427,1677 26 ST SE,SINGLE DETACHED DWELLING,2016/12/02,Approval,ALBERT PARK/RADISSON HEIGHTS,51.03901097623996,-113.99815744023084,House,True,2016
14428,240 SILVER HILL WY NW,SINGLE DETACHED DWELLING,2016/12/15,Approval,SILVER SPRINGS,51.10714731991642,-114.2035666022985,House,False,2016
14429,1702 24 ST SW,SINGLE DETACHED DWELLING,2016/12/02,Approval,SCARBORO/SUNALTA WEST,51.039573217812546,-114.11772196424515,House,True,2016
14430,39 MACKAY DR SW,SINGLE DETACHED DWELLING,2016/12/01,Approval,MEADOWLARK PARK,50.99604481454129,-114.08200787975755,House,False,2016
14431,87 CITADEL CREST GR NW,SINGLE DETACHED DWELLING,2017/01/06,Approval,CITADEL,51.145523386405046,-114.1803668490298,House,False,2017
14432,165 AUBURN MEADOWS WY SE,SECONDARY SUITE,2016/12/16,Approval,AUBURN BAY,50.897520797221596,-113.946174081145,Secondary_suite,False,2016
14433,5107 18 AV NW,BACKYARD SUITE,2016/12/16,Approval,MONTGOMERY,51.07641646395104,-114.16581279977491,Secondary_suite,False,2016
14434,218 PANTEGO BA NW,SINGLE DETACHED DWELLING,2016/11/17,Approval,PANORAMA HILLS,51.16578551492008,-114.10251518007824,House,False,2016
14435,275 DALHURST WY NW,SINGLE DETACHED DWELLING,2017/03/02,Approval,DALHOUSIE,51.11086584416542,-114.1536074583127,House,True,2017
14436,320 MEREDITH RD NE,MULTI-RESIDENTIAL DEVELOPMENT,2016/12/16,Approval,CRESCENT HEIGHTS,51.05261279285418,-114.05577647440356,Multi_unit,False,2016
14437,15 KINCORA GLEN PA NW,MULTI-RESIDENTIAL DEVELOPMENT,2017/01/04,Approval,KINCORA,51.1657146705684,-114.14206353882817,Multi_unit,False,2017
14438,3336 UNDERHILL DR NW,SINGLE DETACHED DWELLING,2016/12/21,Approval,UNIVERSITY HEIGHTS,51.07247035191964,-114.13649691951292,House,False,2016
14439,2024 SALISBURY ST SE,SINGLE DETACHED DWELLING,2017/03/10,Approval,RAMSAY,51.035711026470786,-114.04765994194462,House,False,2017
14440,136 SCENIC RIDGE CR NW,SINGLE DETACHED DWELLING,2016/11/24,Approval,SCENIC ACRES,51.10864319009132,-114.22053939104609,House,True,2016
14441,2624 LINDEN DR SW,SINGLE DETACHED DWELLING,2017/04/20,Approval,LAKEVIEW,50.99113159737098,-114.12162550205522,House,False,2017
